Date,Open,High,Low,Close,Adj Close,Volume
2017-05-27,124.905823,130.482224,94.132866,123.296600,123.296600,951199662
2017-05-28,124.124268,140.629150,123.176247,133.066177,133.066177,560302019
2017-05-29,132.772751,153.692505,128.378586,152.106293,152.106293,560970838
2017-05-30,152.655701,182.486145,147.838959,181.067291,181.067291,1238811642
2017-05-31,180.807312,184.537811,168.267883,179.174316,179.174316,987727202
2017-06-01,179.342865,183.800964,166.482956,172.465469,172.465469,630858320
2017-06-02,172.501938,178.252518,170.524185,173.549713,173.549713,364147665
2017-06-03,173.308517,175.254395,170.171402,174.015823,174.015823,331856677
2017-06-04,173.814957,194.206604,173.709473,190.682419,190.682419,585900848
2017-06-05,190.628006,193.386810,188.366272,192.562973,192.562973,337642408
2017-06-06,192.667603,207.487793,191.244293,204.964737,204.964737,574713651
2017-06-07,204.805084,205.269119,196.003387,199.098145,199.098145,356155679
2017-06-08,199.036407,202.605072,195.983490,205.679916,205.679916,303013689
2017-06-09,205.745163,221.947403,205.438339,221.143646,221.143646,437979579
2017-06-10,221.361069,274.930145,221.361069,265.045532,265.045532,1265015660
2017-06-11,265.929352,277.088684,249.741745,267.354004,267.354004,1077880665
2017-06-12,267.789642,326.759644,267.831696,316.907410,316.907410,2275357259
2017-06-13,312.326141,325.067596,291.337585,311.867096,311.867096,1347281688
2017-06-14,311.907898,313.244446,268.361816,281.632294,281.632294,998180224
2017-06-15,281.204010,285.700073,236.046799,283.646576,283.646576,1930603536
2017-06-16,283.058014,291.836823,267.191254,289.760498,289.760498,858010537
2017-06-17,289.491272,296.950775,284.888489,296.950775,296.950775,708032395
2017-06-18,297.032959,305.690704,288.926819,290.837769,290.837769,708348712
2017-06-19,291.155670,295.243866,290.420197,290.673157,290.673157,538191790
2017-06-20,290.886017,299.428802,277.951843,284.225311,284.225311,807845788
2017-06-21,284.648895,286.234924,252.173813,265.797699,265.797699,1120506586
2017-06-22,266.477051,269.886383,260.928101,265.339600,265.339600,730272916
2017-06-23,265.429504,273.525116,264.187683,268.831818,268.831818,466651176
